City / المدينة,Region / المنطقة,Active Cases / الحالات النشطة,Total Deaths / إجمالي الوفيات,Total Recovered / إجمالي المعافين
Lqliâa,Souss-Massa,0,0,0
M'semrir,Drâa-Tafilalet,0,0,0
Massa (Maroc),Souss-Massa,0,0,0
Megousse,Souss-Massa,0,0,0
Ouarzazate,Drâa-Tafilalet,0,0,0
Oulad Berhil,Souss-Massa,0,0,0
Oulad Teïma,Souss-Massa,0,0,0
Sarghine,Drâa-Tafilalet,0,0,0
Sidi Ifni,Guelmim-Oued Noun,0,0,0
Skoura,Drâa-Tafilalet,0,0,0
Tabounte,Drâa-Tafilalet,0,0,0
Tafraout,Souss-Massa,0,0,0
Taghzout,Tanger-Tétouan-Al Hoceïma,0,0,0
Tagzen,Souss-Massa,0,0,0
Taliouine,Souss-Massa,0,0,0
Tamegroute,Drâa-Tafilalet,0,0,0
Tamraght,Souss-Massa,0,0,0
Tanoumrite Nkob Zagora,Drâa-Tafilalet,0,0,0
Taourirt ait zaghar,Drâa-Tafilalet,0,0,0
Taroudannt,Souss-Massa,1,0,0
Temsia,Souss-Massa,0,0,0
Tifnit,Souss-Massa,0,0,0
Tisgdal,Souss-Massa,0,0,0
Tiznit,Souss-Massa,0,0,0
Toundoute,Drâa-Tafilalet,0,0,0
Zagora,Drâa-Tafilalet,0,0,0
Afourar,Béni Mellal-Khénifra,0,0,0
Aghbala,Béni Mellal-Khénifra,0,0,0
Azilal,Béni Mellal-Khénifra,0,0,0
Aït Majden,Béni Mellal-Khénifra,0,0,0
Beni Ayat,Béni Mellal-Khénifra,0,0,0
Béni Mellal,Béni Mellal-Khénifra,0,0,0
Bin elouidane,Béni Mellal-Khénifra,0,0,0
Bradia,Béni Mellal-Khénifra,0,0,0
Bzou,Béni Mellal-Khénifra,0,0,0
Dar Oulad Zidouh,Béni Mellal-Khénifra,0,0,0
Demnate,Béni Mellal-Khénifra,0,0,0
Dra'a,Drâa-Tafilalet,0,0,0
El Ksiba,Béni Mellal-Khénifra,0,0,0
Foum Jamaa,Béni Mellal-Khénifra,0,0,0
Fquih Ben Salah,Béni Mellal-Khénifra,1,0,0
Kasba Tadla,Béni Mellal-Khénifra,0,0,0
Ouaouizeght,Béni Mellal-Khénifra,0,0,0
Oulad Ayad,Béni Mellal-Khénifra,0,0,0
Oulad M'Barek,Béni Mellal-Khénifra,0,0,0
Oulad Yaich,Béni Mellal-Khénifra,0,0,0
Sidi Jaber,Béni Mellal-Khénifra,0,0,0
Souk Sebt Oulad Nemma,Béni Mellal-Khénifra,0,0,0
Zaouïat Cheikh,Béni Mellal-Khénifra,0,0,0
Tanger‎,Tanger-Tétouan-Al Hoceïma,3,0,0
Tétouan‎,Tanger-Tétouan-Al Hoceïma,4,0,0
Akchour,Tanger-Tétouan-Al Hoceïma,0,0,0
Assilah,Tanger-Tétouan-Al Hoceïma,0,0,0
Bab Berred,Tanger-Tétouan-Al Hoceïma,0,0,0
Bab Taza,Tanger-Tétouan-Al Hoceïma,0,0,0
Brikcha,Tanger-Tétouan-Al Hoceïma,0,0,0
Chefchaouen,Tanger-Tétouan-Al Hoceïma,0,0,0
Dar Bni Karrich,Tanger-Tétouan-Al Hoceïma,0,0,0
Dar Chaoui,Tanger-Tétouan-Al Hoceïma,0,0,0
Fnideq,Tanger-Tétouan-Al Hoceïma,0,0,0
Gueznaia,Tanger-Tétouan-Al Hoceïma,0,0,0
Jebha,Tanger-Tétouan-Al Hoceïma,0,0,0
Karia,Fès-Meknès,0,0,0
Khémis Sahel,Tanger-Tétouan-Al Hoceïma,0,0,0
Ksar El Kébir,Tanger-Tétouan-Al Hoceïma,0,0,0
Larache,Tanger-Tétouan-Al Hoceïma,0,0,0
M'diq,Tanger-Tétouan-Al Hoceïma,0,0,0
Martil,Tanger-Tétouan-Al Hoceïma,0,0,0
Moqrisset,Tanger-Tétouan-Al Hoceïma,0,0,0
Oued Laou,Tanger-Tétouan-Al Hoceïma,0,0,0
Oued Rmel,Tanger-Tétouan-Al Hoceïma,0,0,0
Ouazzane,Tanger-Tétouan-Al Hoceïma,0,0,0
Point Cires,Tanger-Tétouan-Al Hoceïma,0,0,0
Sidi Lyamani,Tanger-Tétouan-Al Hoceïma,0,0,0
Sidi Mohamed ben Abdallah el-Raisuni,Tanger-Tétouan-Al Hoceïma,0,0,0
Zinat,Tanger-Tétouan-Al Hoceïma,0,0,0
Ajdir‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Aknoul‎,Fès-Meknès,0,0,0
Al Hoceïma‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Aït Hichem‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Bni Bouayach‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Bni Hadifa‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Ghafsai‎,Fès-Meknès,0,0,0
Guercif‎,l'Oriental,0,0,0
Imzouren‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Inahnahen‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Issaguen (Ketama)‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Karia (El Jadida)‎,Casablanca-Settat,0,0,0
Karia Ba Mohamed‎,Fès-Meknès,0,0,0
Oued Amlil‎,Fès-Meknès,0,0,0
Oulad Zbair‎,Fès-Meknès,0,0,0
Tahla‎,Fès-Meknès,0,0,0
Tala Tazegwaght‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Tamassint‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Taounate‎,Fès-Meknès,0,0,0
Targuist‎,Tanger-Tétouan-Al Hoceïma,0,0,0
Taza‎,Fès-Meknès,0,0,0
Taïnaste‎,Fès-Meknès,0,0,0
Thar Es-Souk‎,Fès-Meknès,0,0,0
Tissa‎,Fès-Meknès,0,0,0
Tizi Ouasli‎,Fès-Meknès,0,0,0
Laayoune‎,Laâyoune-Sakia El Hamra,0,0,0
El Marsa‎,Laâyoune-Sakia El Hamra,0,0,0
Tarfaya‎,Laâyoune-Sakia El Hamra,0,0,0
Boujdour‎,Laâyoune-Sakia El Hamra,0,0,0
Awsard,Dakhla-Oued Ed Dahab,0,0,0
Oued-Eddahab,Dakhla-Oued Ed Dahab,0,0,0
Stehat,Tanger-Tétouan-Al Hoceïma,0,0,0
Aït Attab,Béni Mellal-Khénifra,0,0,0
